ENTRY_NAME,Overall Quality,Spring Green Up,Summer Patch,Genetic Color,Uniformity,Texture,Density
Bombay (GO-22B23),0.7349710911666670,0.9092395686983330,0.438874010905,0.6257517766983330,0.9629121531833330,0.46208240369995000,0.57565122769
A10-280,0.60732060845,0.27072954203641700,-0.24493308043466700,0.32181015354,0.35243122613483300,0.6978422095,0.6307513369
Cloud (GO-2425),0.5996297979666670,0.49272937818950000,0.4463835663,0.622542808615,0.7558323043500000,0.4288169580521670,0.58929974748
Star (GO-2628),0.5247378338283330,0.5287698604935000,0.4506685895166670,0.6874958565633330,0.9137408486000000,0.4819493609885,0.34327076474316700
Yellowstone (A12-7),0.5107281165525000,0.04144617227136670,0.08695340471856670,-0.004895688676083330,-0.5797681151566670,-0.035209524990387,-0.14810974638416700
A11-26,0.48802419275395200,-0.19816035495766700,0.08264777103523330,0.7017335568366670,1.0563219892333300,0.2215473186395,0.33247046452466700
Dublin (PST-K15-157),0.4505853077758330,-0.07981072276083330,-0.039162393987816700,-0.30260236237283300,-0.7248049810000000,-0.09133655970581670,-0.4053382389468330
NAI-14-122,0.42140795173,0.11812846528183300,0.22092802779503300,0.1277094760349,-0.8186697725000000,-0.30917067512,-0.441424418433
DLFPS-340/3494,0.4182120734131670,-0.8614107563091670,0.10140578875742,-1.13943518695,-1.3821723658333300,0.0694922804246,0.18898014087492200
PPG-KB 1320,0.41273194329850000,-1.2666600792533300,-0.15811576433013300,-0.9382455516706670,-2.1377376283333300,-1.0786317316333300,-1.1120060551666700
AKB3179,0.41111934443616700,0.6252243711253330,-0.14389682965068300,0.7922178956,-0.27768045166321,-0.005123954103556670,-0.5413462060916670
Skye,0.39569476779083300,0.6189765562766670,0.3200647218476670,0.519423625305,0.5858418196716670,0.3432923649095,0.3844029981076670
Electric (PST-K11-118),0.37596276024166700,1.09910766235,0.051562322094183300,0.7151031040666670,-0.001367029440683330,0.2576110860829670,0.3115116897751670
Amaze (NAI-14-133),0.37478316114916700,-0.0318070337344,0.14361359842272700,-0.11855057357541700,-0.3624147090943330,-0.3470672780588330,-0.5003502414133330
Barserati (BAR PP 110358),0.37030963765583300,1.5590443833833300,-0.18988659619938300,1.02633036395,1.0872920339166700,0.7135900176333330,0.930867294
PST-11-7,0.36470809447883300,-1.3926524979883300,-0.48433134629000000,0.105661426412,-1.1005337771666700,0.11223793874833300,-0.43931244414833300
New Moon (PST-K15-177),0.36058649507246700,-0.41226194894932700,0.42490322267,-0.5753700795033330,-0.9290677074333330,-0.09484586706371670,-0.599570666395
J-1319,0.34244109907666700,-0.8709664075213330,-0.3377480292633330,-1.2786362657500000,-0.41222456267,-0.380939723177,-0.12339608993025000
AKB3128,0.3361475459050670,0.8242226506314830,-0.06878895877370330,0.47885897745833300,0.31654401430486700,0.018911752727633300,0.04233109204366670
PST-T14-39,0.30308711865983300,-1.1544126781333300,0.053038800038333300,-0.17549264258905500,-0.07884037213588330,0.11855845916133300,0.3022389464265
Finish Line (NAI-14-178),0.2989451313590170,-0.6351399206713330,-0.24506653117233300,-1.145946565005,-0.2946767575043330,-0.21798815564956700,-0.5558762419783330
NAI-14-132,0.28384465592572200,0.5744168013291670,0.10123580384998300,0.00209087023975,-0.5156136194916670,-0.565738229145,-0.7396314732156670
Prosperity,0.24426715320058300,-1.1559667725,0.39888396174333300,-0.3816611163175,-0.9207384261933330,-0.5740997759276670,-0.36711005328966700
A11-38,0.24365417936400000,0.3695630624685,0.005882378309383330,-0.18245244397771700,-1.1185937829500000,-0.5372888959333330,-1.1606649046333300
PST-K15-172,0.22176425240763300,0.6680107617483330,-0.07679534622849670,0.6425857879816670,0.480914042245,0.17539190511718700,-0.07542648763273330
J-2726,0.21479203940558300,-1.03935959545385,-0.13040886050188300,-0.7437312926666670,-0.35455710689433300,-0.08528084926783330,0.08128191178083330
DLFPS-340/3500,0.20477862904177500,0.8890939282933330,-0.02918046174451670,0.5706346884636670,0.6304729368,0.29967333020133300,0.0075569768253666700
DLFPS-340/3550,0.15926248246485,0.44218733002433300,0.4944151594466670,0.51194140729205,0.63009873991,0.15117852198658700,0.6766704213
Comanche (NAI-14-176),0.1572008292225,-0.35761393576766700,-0.15616955608663300,0.08984244313159330,-0.9010067882166670,-0.7175303355166670,-0.8767997051166670
PST-K13-141,0.15518703866077500,0.2045136072794170,0.12832670177558300,0.2767985244806830,0.08053400768876670,0.3008510449861830,-0.024186486614275000
Heartland (NAI-14-187),0.14665913182081700,-0.14454229545136700,-0.0242527660693095,-0.5006626244083330,-0.7214620937666670,-0.18193509191528300,-0.4597085943796670
Aviator II (NAI-15-84),0.12645480127071700,-0.3415922052736670,0.09873554608891670,-0.6125187794083330,-1.3614897687833300,-0.45183288561731700,-0.8107327041833330
Orion (PST-K13-143),0.11924440348583300,-0.42220369909875,0.075836257734,0.35670771209683300,-0.7541397887433330,-0.17187307837675,-0.54774055472
Syrah (LTP-11-41),0.1001706595593,0.16975988323740000,0.03554859021214170,0.21521115645916700,0.7501025403166670,0.07529900689156670,-0.4603017502553670
DLFPS-340/3556,0.0875612464458,0.5704518992638670,0.14996071584266700,0.20673520525061700,0.7061626143833330,0.31354680423031300,0.07554430004468
A16-2,0.08666845782846670,0.15748058242705000,-0.2525324431678330,0.12015852999718300,-0.3332268390331,-0.13261173789841700,-0.2153696250218830
DLFPS-340/3551,0.08148297689461670,0.3870911060818330,0.43267812985,0.5741096022633330,0.34591816588321700,0.3121486295011670,0.442627255683
Pivot,0.07460066323087830,-0.05473115778033330,-0.03648711232805,-0.387742786124,-0.3023170103814,-0.5722006533483330,-0.3420398933205
NAI-14-128,0.06335737920915670,0.07118873003470330,0.05572213027438170,0.051271606591,-0.52765513051,-0.12642731345101700,-0.6024878417533330
AKB3241,0.06189732199886670,-0.26823031010286700,0.13344237248815,0.5267699722859330,-0.13944504462600000,-0.01771316655005,-0.6513284877736670
DLFPS-340/3548,0.0444945094314,-0.5897105814761670,0.17289037728266700,0.03887232840153330,-0.6077983191833330,-0.22460059665870000,-0.6963496382500000
Paloma (PST-K13-139),0.03792108406928330,0.004074465245633330,0.3037768902701670,0.05311613098533330,-1.5626324759633300,-0.31644648782016700,-0.9856403802
MVS-130,0.025622683470550000,-0.01979881551111,-0.03278543427765,0.06727019340773330,-0.6667595738,-0.16331772467631800,-0.61874620405
