ENTRY_NAME,"St. Paul, MN","East Lansing, MI","Logan, UT","West Lafayette, IN","Adelphia, NJ","Stillwater, OK","Raleigh, NC"
Bombay (GO-22B23),0.7349710911666666,0.9092395686983333,0.438874010905,0.6257517766983334,0.9629121531833332,0.46208240369994996,0.57565122769
A10-280,0.60732060845,0.27072954203641664,-0.24493308043466666,0.32181015354,0.35243122613483335,0.6978422095,0.6307513369
Cloud (GO-2425),0.5996297979666666,0.49272937818949997,0.4463835663,0.622542808615,0.7558323043499999,0.4288169580521667,0.58929974748
Star (GO-2628),0.5247378338283334,0.5287698604934999,0.4506685895166667,0.6874958565633333,0.9137408485999999,0.4819493609885,0.34327076474316665
Yellowstone (A12-7),0.5107281165524999,0.04144617227136667,0.08695340471856668,-0.004895688676083333,-0.5797681151566667,-0.035209524990387,-0.14810974638416666
A11-26,0.48802419275395165,-0.19816035495766668,0.08264777103523334,0.7017335568366666,1.0563219892333333,0.2215473186395,0.33247046452466666
Dublin (PST-K15-157),0.4505853077758333,-0.07981072276083333,-0.039162393987816665,-0.30260236237283333,-0.7248049810000001,-0.09133655970581667,-0.4053382389468333
NAI-14-122,0.42140795173,0.11812846528183334,0.22092802779503332,0.1277094760349,-0.8186697725000001,-0.30917067512,-0.441424418433
DLFPS-340/3494,0.4182120734131667,-0.8614107563091667,0.10140578875742,-1.13943518695,-1.3821723658333334,0.0694922804246,0.18898014087492168
PPG-KB 1320,0.41273194329850005,-1.2666600792533333,-0.15811576433013333,-0.9382455516706667,-2.1377376283333334,-1.0786317316333334,-1.1120060551666666
AKB3179,0.41111934443616666,0.6252243711253334,-0.14389682965068332,0.7922178956,-0.27768045166321,-0.005123954103556667,-0.5413462060916667
Skye,0.39569476779083335,0.6189765562766667,0.3200647218476667,0.519423625305,0.5858418196716667,0.3432923649095,0.3844029981076667
Electric (PST-K11-118),0.37596276024166664,1.09910766235,0.051562322094183335,0.7151031040666667,-0.001367029440683333,0.2576110860829667,0.3115116897751667
Amaze (NAI-14-133),0.37478316114916665,-0.0318070337344,0.14361359842272667,-0.11855057357541667,-0.3624147090943333,-0.3470672780588333,-0.5003502414133333
Barserati (BAR PP 110358),0.37030963765583336,1.5590443833833334,-0.18988659619938336,1.02633036395,1.0872920339166667,0.7135900176333333,0.930867294
PST-11-7,0.36470809447883334,-1.3926524979883335,-0.48433134628999996,0.105661426412,-1.1005337771666668,0.11223793874833332,-0.43931244414833337
New Moon (PST-K15-177),0.36058649507246665,-0.41226194894932683,0.42490322267,-0.5753700795033333,-0.9290677074333333,-0.09484586706371666,-0.599570666395
J-1319,0.34244109907666664,-0.8709664075213334,-0.3377480292633333,-1.2786362657500001,-0.41222456267,-0.380939723177,-0.12339608993024999
AKB3128,0.3361475459050667,0.8242226506314834,-0.06878895877370333,0.47885897745833333,0.31654401430486667,0.018911752727633332,0.04233109204366667
PST-T14-39,0.30308711865983334,-1.1544126781333333,0.053038800038333334,-0.17549264258905503,-0.07884037213588334,0.11855845916133334,0.3022389464265
Finish Line (NAI-14-178),0.2989451313590166,-0.6351399206713334,-0.24506653117233335,-1.145946565005,-0.2946767575043333,-0.21798815564956667,-0.5558762419783333
NAI-14-132,0.28384465592572167,0.5744168013291667,0.10123580384998333,0.00209087023975,-0.5156136194916666,-0.565738229145,-0.7396314732156667
Prosperity,0.24426715320058334,-1.1559667725,0.39888396174333335,-0.3816611163175,-0.9207384261933333,-0.5740997759276667,-0.36711005328966667
A11-38,0.24365417936400002,0.3695630624685,0.005882378309383333,-0.18245244397771668,-1.1185937829500001,-0.5372888959333333,-1.1606649046333333
PST-K15-172,0.22176425240763334,0.6680107617483333,-0.07679534622849667,0.6425857879816667,0.480914042245,0.17539190511718666,-0.07542648763273334
J-2726,0.21479203940558333,-1.03935959545385,-0.13040886050188333,-0.7437312926666667,-0.35455710689433334,-0.08528084926783333,0.08128191178083334
DLFPS-340/3500,0.20477862904177502,0.8890939282933333,-0.02918046174451667,0.5706346884636666,0.6304729368,0.29967333020133335,0.0075569768253666665
DLFPS-340/3550,0.15926248246485,0.44218733002433336,0.4944151594466667,0.51194140729205,0.63009873991,0.15117852198658666,0.6766704213
Comanche (NAI-14-176),0.1572008292225,-0.35761393576766665,-0.15616955608663333,0.08984244313159333,-0.9010067882166667,-0.7175303355166668,-0.8767997051166667
PST-K13-141,0.15518703866077502,0.2045136072794167,0.12832670177558334,0.2767985244806833,0.08053400768876667,0.3008510449861833,-0.024186486614275002
Heartland (NAI-14-187),0.14665913182081666,-0.14454229545136668,-0.0242527660693095,-0.5006626244083333,-0.7214620937666667,-0.18193509191528334,-0.4597085943796667
Aviator II (NAI-15-84),0.12645480127071665,-0.3415922052736666,0.09873554608891667,-0.6125187794083333,-1.3614897687833334,-0.45183288561731666,-0.8107327041833334
Orion (PST-K13-143),0.11924440348583333,-0.42220369909875,0.075836257734,0.35670771209683333,-0.7541397887433333,-0.17187307837675,-0.54774055472
Syrah (LTP-11-41),0.1001706595593,0.16975988323740002,0.03554859021214166,0.21521115645916666,0.7501025403166667,0.07529900689156667,-0.4603017502553666
DLFPS-340/3556,0.0875612464458,0.5704518992638666,0.14996071584266668,0.20673520525061667,0.7061626143833334,0.31354680423031334,0.07554430004468
A16-2,0.08666845782846667,0.15748058242705001,-0.2525324431678333,0.12015852999718334,-0.3332268390331,-0.13261173789841665,-0.2153696250218833
DLFPS-340/3551,0.08148297689461667,0.3870911060818333,0.43267812985,0.5741096022633333,0.34591816588321667,0.3121486295011667,0.442627255683
