name,Mean,2.5%,97.5%,error_minus,error_plus
sigma,0.0,-0.29999999999999993,0.5,0.29999999999999993,0.5
sigma_e,0.09999999999999998,-0.2,0.3,0.3,0.2
beta[1],0.010000000000000009,-0.06999999999999995,0.09000000000000008,0.07999999999999996,0.08000000000000007
beta[2],0.08000000000000002,-0.009999999999999953,0.16000000000000003,0.08999999999999997,0.08000000000000002
beta[3],0.00045,-0.078,0.073,0.07845,0.07254999999999999
beta[4],-0.06000000000000011,-0.13000000000000012,0.01999999999999985,0.07,0.07999999999999996
beta[5],-0.040000000000000036,-0.13,0.04999999999999993,0.08999999999999997,0.08999999999999997
tau[1],0.19999999999999996,-0.10000000000000009,0.5,0.30000000000000004,0.30000000000000004
tau[2],-0.0714285714285714,-0.27142857142857135,0.22857142857142865,0.19999999999999996,0.30000000000000004
tau[3],0.12714285714285722,-0.07285714285714284,0.29714285714285715,0.20000000000000007,0.16999999999999993
tau[4],-0.02428571428571419,-0.2142857142857142,0.13571428571428581,0.19,0.16
tau[5],-0.045714285714285596,-0.22171428571428559,0.11428571428571443,0.176,0.16000000000000003
tau[6],-0.04714285714285671,-0.24714285714285678,0.13285714285714323,0.20000000000000007,0.17999999999999994
tau[7],-0.12857142857142834,-0.4285714285714284,0.07142857142857162,0.30000000000000004,0.19999999999999996
tau[8],-0.10000000000000009,-0.3999999999999999,0.20000000000000018,0.2999999999999998,0.30000000000000027
plot[1],0.3557115142139069,-0.2742884857860931,0.8507115142139069,0.63,0.495
plot[2],0.30161756758669755,-0.19838243241330247,0.7816175675866975,0.5,0.48
plot[3],0.07626607745965455,-0.4237339225403455,0.5362660774596546,0.5,0.4600000000000001
plot[4],0.40119067781827833,-0.17880932218172163,0.8911906778182783,0.58,0.49
plot[5],0.4139998138100841,-0.17600018618991586,0.9139998138100841,0.59,0.5
plot[6],0.30434986397831565,-0.21565013602168437,0.7643498639783156,0.52,0.45999999999999996
plot[7],-0.0024370041639035223,-0.5024370041639035,0.4675629958360965,0.49999999999999994,0.47000000000000003
plot[8],0.40582148274667235,-0.16417851725332766,0.9058214827466723,0.5700000000000001,0.49999999999999994
plot[9],0.25104020930273274,-0.2859597906972673,0.7440402093027327,0.537,0.493
plot[10],0.5721531473684842,-0.0078468526315158,1.0721531473684842,0.5800000000000001,0.5
plot[11],0.15442819316929007,-0.3475718068307099,0.6324281931692901,0.502,0.47800000000000004
plot[12],-0.24078825734049808,-0.7477882573404981,0.24221174265950196,0.5070000000000001,0.48300000000000004
plot[13],-0.031122906147431184,-0.5871229061474311,0.4688770938525689,0.5559999999999999,0.5000000000000001
plot[14],0.07471316704803821,-0.4154868329519618,0.5547131670480382,0.4902,0.48
plot[15],0.3068182473087243,-0.28818175269127566,0.7818182473087243,0.595,0.475
plot[16],-0.11830904678707432,-0.6783090467870743,0.3816909532129257,0.5599999999999999,0.5
plot[17],0.3227445146561643,-0.19325548534383563,0.8067445146561644,0.516,0.48400000000000004
plot[18],-0.572893768973178,-1.102893768973178,-0.04289376897317809,0.5299999999999999,0.5299999999999999
plot[19],0.11116622644818422,-0.43683377355181574,0.6131662264481843,0.5479999999999999,0.5020000000000001
plot[20],-0.005229090461772348,-0.5152290904617723,0.4447709095382277,0.51,0.45
plot[21],0.20382879251026098,-0.30817120748973903,0.681828792510261,0.512,0.478
plot[22],0.2116143464022875,-0.2983856535977125,0.6816143464022875,0.51,0.47
plot[23],0.27543865975704807,-0.267561340242952,0.7724386597570481,0.543,0.497
plot[24],-0.08244016534236315,-0.6024401653423632,0.4075598346576368,0.52,0.48999999999999994
plot[25],-0.2418206185488554,-0.8018206185488554,0.24317938145114465,0.56,0.48500000000000004
plot[26],0.6194392840266902,0.10143928402669022,1.0614392840266902,0.518,0.44199999999999995
plot[27],0.23913662769569638,-0.2808633723043036,0.7091366276956964,0.52,0.47000000000000003
plot[28],0.694108635661222,0.144108635661222,1.144108635661222,0.55,0.44999999999999996
plot[29],0.16940260857304315,-0.3355973914269569,0.6544026085730432,0.505,0.4850000000000001
plot[30],0.36772348609657246,-0.15327651390342756,0.8067234860965724,0.521,0.43899999999999995
