ENTRY_NAME,EFF_LMM,STD_LMM,Z_LMM,P_LMM,2.5LMM,97.5LMM,TEST_LOC,EFF_RSM,2.5RSM,97.5RSM,STD_RSM
DLFPS-340/3438,0.389,0.163,2.385,0.017,0.069,0.708,"Stillwater, OK",-0.050,-0.429,0.321,0.225
DLFPS-340/3444,0.422,0.163,2.590,0.010,0.103,0.742,"Stillwater, OK",-0.008,-0.387,0.374,0.217
DLFPS-340/3446,0.189,0.163,1.159,0.247,-0.131,0.508,"Stillwater, OK",-0.171,-0.542,0.198,0.199
DLFPS-340/3455,0.389,0.163,2.385,0.017,0.069,0.708,"Stillwater, OK",-0.035,-0.412,0.331,0.197
DLFPS-340/3494,0.567,0.163,3.476,0.001,0.247,0.886,"Stillwater, OK",0.069,-0.319,0.451,0.212
DLFPS-340/3500,0.900,0.163,5.520,0.000,0.580,1.220,"Stillwater, OK",0.300,-0.092,0.686,0.205
DLFPS-340/3548,0.133,0.163,0.818,0.413,-0.186,0.453,"Stillwater, OK",-0.225,-0.597,0.146,0.193
DLFPS-340/3549,0.156,0.163,0.954,0.340,-0.164,0.475,"Stillwater, OK",-0.195,-0.572,0.167,0.195
DLFPS-340/3550,0.689,0.163,4.225,0.000,0.369,1.008,"Stillwater, OK",0.151,-0.218,0.530,0.194
DLFPS-340/3551,0.911,0.163,5.588,0.000,0.592,1.231,"Stillwater, OK",0.312,-0.080,0.710,0.202
DLFPS-340/3552,0.756,0.163,4.634,0.000,0.436,1.075,"Stillwater, OK",0.209,-0.171,0.597,0.209
DLFPS-340/3553,0.900,0.163,5.520,0.000,0.580,1.220,"Stillwater, OK",0.302,-0.087,0.682,0.212
DLFPS-340/3556,0.933,0.163,5.724,0.000,0.614,1.253,"Stillwater, OK",0.314,-0.073,0.704,0.223
Dublin (PST-K15-157),0.311,0.163,1.908,0.056,-0.008,0.631,"Stillwater, OK",-0.091,-0.461,0.280,0.206
Electric (PST-K11-118),0.844,0.163,5.179,0.000,0.525,1.164,"Stillwater, OK",0.258,-0.128,0.634,0.202
Finish Line (NAI-14-178),0.122,0.163,0.750,0.453,-0.197,0.442,"Stillwater, OK",-0.218,-0.587,0.163,0.211
Heartland (NAI-14-187),0.200,0.163,1.227,0.220,-0.120,0.520,"Stillwater, OK",-0.182,-0.573,0.194,0.211
J-1138,1.011,0.163,6.201,0.000,0.692,1.331,"Stillwater, OK",0.374,-0.002,0.748,0.202
J-1319,-0.111,0.163,-0.681,0.496,-0.431,0.208,"Stillwater, OK",-0.381,-0.771,-0.014,0.227
J-2726,0.322,0.163,1.976,0.048,0.003,0.642,"Stillwater, OK",-0.085,-0.451,0.289,0.191
Jersey (NAI-A16-3),0.544,0.163,3.339,0.001,0.225,0.864,"Stillwater, OK",0.059,-0.322,0.438,0.225
KH3492,0.633,0.163,3.884,0.000,0.314,0.953,"Stillwater, OK",0.137,-0.248,0.521,0.215
Kenblue,-0.067,0.163,-0.409,0.683,-0.386,0.253,"Stillwater, OK",-0.354,-0.746,0.042,0.205
MVS-130,0.200,0.163,1.227,0.220,-0.120,0.520,"Stillwater, OK",-0.163,-0.527,0.210,0.194
Midnight,0.611,0.163,3.748,0.000,0.292,0.931,"Stillwater, OK",0.120,-0.262,0.497,0.210
NAI-14-122,0.000,0.163,0.000,1.000,-0.320,0.320,"Stillwater, OK",-0.309,-0.689,0.066,0.226
NAI-14-128,0.267,0.163,1.636,0.102,-0.053,0.586,"Stillwater, OK",-0.126,-0.499,0.253,0.192
NAI-14-132,-0.378,0.163,-2.317,0.021,-0.697,-0.058,"Stillwater, OK",-0.566,-0.944,-0.184,0.208
NAI-15-80,0.422,0.163,2.590,0.010,0.103,0.742,"Stillwater, OK",-0.021,-0.407,0.350,0.225
NK-1,0.667,0.163,4.089,0.000,0.347,0.986,"Stillwater, OK",0.139,-0.233,0.508,0.201
New Moon (PST-K15-177),0.300,0.163,1.840,0.066,-0.020,0.620,"Stillwater, OK",-0.095,-0.481,0.272,0.204
NuRush (J-3510),0.722,0.163,4.430,0.000,0.403,1.042,"Stillwater, OK",0.183,-0.193,0.567,0.195
Orion (PST-K13-143),0.200,0.163,1.227,0.220,-0.120,0.520,"Stillwater, OK",-0.172,-0.552,0.202,0.202
PPG-KB 1131,0.867,0.163,5.316,0.000,0.547,1.186,"Stillwater, OK",0.274,-0.099,0.659,0.205
PPG-KB 1304,0.844,0.163,5.179,0.000,0.525,1.164,"Stillwater, OK",0.260,-0.126,0.638,0.206
PPG-KB 1320,-1.089,0.163,-6.678,0.000,-1.408,-0.769,"Stillwater, OK",-1.079,-1.488,-0.664,0.257
PST-11-7,0.633,0.163,3.884,0.000,0.314,0.953,"Stillwater, OK",0.112,-0.257,0.486,0.189
PST-K13-141,0.922,0.163,5.656,0.000,0.603,1.242,"Stillwater, OK",0.301,-0.084,0.678,0.218
PST-K15-167,0.222,0.163,1.363,0.173,-0.097,0.542,"Stillwater, OK",-0.160,-0.542,0.210,0.214
PST-K15-172,0.733,0.163,4.498,0.000,0.414,1.053,"Stillwater, OK",0.175,-0.200,0.560,0.201
PST-T14-39,0.633,0.163,3.884,0.000,0.314,0.953,"Stillwater, OK",0.119,-0.276,0.501,0.211
Paloma (PST-K13-139),0.000,0.163,0.000,1.000,-0.320,0.320,"Stillwater, OK",-0.316,-0.694,0.047,0.206
Pivot,-0.411,0.163,-2.521,0.012,-0.731,-0.092,"Stillwater, OK",-0.572,-0.949,-0.189,0.228
Prosperity,-0.389,0.163,-2.385,0.017,-0.708,-0.069,"Stillwater, OK",-0.574,-0.961,-0.191,0.217
RAD 553,0.600,0.163,3.680,0.000,0.280,0.920,"Stillwater, OK",0.091,-0.297,0.466,0.204
RAD-1776,0.611,0.163,3.748,0.000,0.292,0.931,"Stillwater, OK",0.099,-0.270,0.488,0.210
Selway,0.589,0.163,3.612,0.000,0.269,0.908,"Stillwater, OK",0.072,-0.301,0.443,0.205
Shamrock,0.211,0.163,1.295,0.195,-0.108,0.531,"Stillwater, OK",-0.162,-0.539,0.231,0.211
Skye,0.967,0.163,5.929,0.000,0.647,1.286,"Stillwater, OK",0.343,-0.028,0.734,0.195
Star (GO-2628),1.144,0.163,7.019,0.000,0.825,1.464,"Stillwater, OK",0.482,0.102,0.860,0.226
Syrah (LTP-11-41),0.556,0.163,3.407,0.001,0.236,0.875,"Stillwater, OK",0.075,-0.311,0.442,0.198
Twilight (NAI-13-132),0.378,0.163,2.317,0.021,0.058,0.697,"Stillwater, OK",-0.059,-0.428,0.317,0.203
United (NAI-13-14),0.722,0.163,4.430,0.000,0.403,1.042,"Stillwater, OK",0.186,-0.198,0.580,0.218
Yellowstone (A12-7),0.400,0.163,2.453,0.014,0.080,0.720,"Stillwater, OK",-0.035,-0.417,0.336,0.208
A10-280,-0.827,0.198,-4.171,0.000,-1.215,-0.438,"Logan, UT",-0.245,-0.497,0.004,0.141
A11-26,-0.400,0.198,-2.018,0.044,-0.788,-0.012,"Logan, UT",0.083,-0.176,0.317,0.142
A11-38,-0.667,0.198,-3.363,0.001,-1.055,-0.278,"Logan, UT",0.006,-0.250,0.266,0.143
A11-40,-0.467,0.198,-2.354,0.019,-0.855,-0.078,"Logan, UT",-0.211,-0.480,0.044,0.138
A12-34,-0.213,0.198,-1.076,0.282,-0.602,0.175,"Logan, UT",0.175,-0.092,0.431,0.160
A13-1,0.067,0.198,0.336,0.737,-0.322,0.455,"Logan, UT",0.131,-0.122,0.374,0.155
A15-6,-0.347,0.198,-1.749,0.080,-0.735,0.042,"Logan, UT",-0.071,-0.328,0.183,0.168
A16-1,-0.653,0.198,-3.296,0.001,-1.042,-0.265,"Logan, UT",-0.184,-0.447,0.076,0.141
A16-17,-0.427,0.198,-2.153,0.031,-0.815,-0.038,"Logan, UT",-0.137,-0.380,0.112,0.150
A16-2,-0.493,0.198,-2.489,0.013,-0.882,-0.105,"Logan, UT",-0.253,-0.508,-0.003,0.155
A16-7,-1.120,0.198,-5.651,0.000,-1.508,-0.732,"Logan, UT",-0.326,-0.586,-0.071,0.151
A99-2897,-0.347,0.198,-1.749,0.080,-0.735,0.042,"Logan, UT",0.115,-0.145,0.364,0.162
AKB3128,-0.373,0.198,-1.884,0.060,-0.762,0.015,"Logan, UT",-0.069,-0.330,0.180,0.168
AKB3179,-1.120,0.198,-5.651,0.000,-1.508,-0.732,"Logan, UT",-0.144,-0.402,0.112,0.144
AKB3241,0.120,0.198,0.605,0.545,-0.268,0.508,"Logan, UT",0.133,-0.102,0.371,0.152
After Midnight,-0.520,0.198,-2.623,0.009,-0.908,-0.132,"Logan, UT",-0.164,-0.418,0.083,0.174
Amaze (NAI-14-133),-0.387,0.198,-1.951,0.051,-0.775,0.002,"Logan, UT",0.144,-0.106,0.397,0.176
Aviator II (NAI-15-84),-0.133,0.198,-0.673,0.501,-0.522,0.255,"Logan, UT",0.099,-0.146,0.348,0.138
BAR PP 71213,-1.053,0.198,-5.314,0.000,-1.442,-0.665,"Logan, UT",-0.484,-0.746,-0.237,0.143
BAR PP 7236V,-0.480,0.198,-2.422,0.015,-0.868,-0.092,"Logan, UT",-0.132,-0.368,0.114,0.127
BAR PP 7309V,-0.133,0.198,-0.673,0.501,-0.522,0.255,"Logan, UT",-0.232,-0.491,0.015,0.179
BAR PP 79366,-0.400,0.198,-2.018,0.044,-0.788,-0.012,"Logan, UT",-0.020,-0.269,0.223,0.130
BAR PP 79494,-0.760,0.198,-3.834,0.000,-1.148,-0.372,"Logan, UT",-0.143,-0.390,0.096,0.134
BAR PP 7K426,-0.467,0.198,-2.354,0.019,-0.855,-0.078,"Logan, UT",-0.177,-0.421,0.066,0.142
Babe,-0.587,0.198,-2.960,0.003,-0.975,-0.198,"Logan, UT",-0.140,-0.387,0.106,0.135
Barserati (BAR PP 110358),-1.027,0.198,-5.180,0.000,-1.415,-0.638,"Logan, UT",-0.190,-0.444,0.057,0.154
Barvette HGT®,-0.427,0.198,-2.153,0.031,-0.815,-0.038,"Logan, UT",-0.209,-0.455,0.047,0.153
Blue Devil,-0.813,0.198,-4.103,0.000,-1.202,-0.425,"Logan, UT",-0.070,-0.336,0.183,0.171
Blue Gem (NAI-13-9),0.040,0.198,0.202,0.840,-0.348,0.428,"Logan, UT",0.025,-0.223,0.273,0.165
Blue Knight,-0.773,0.198,-3.902,0.000,-1.162,-0.385,"Logan, UT",-0.285,-0.540,-0.039,0.153
Bombay (GO-22B23),0.960,0.198,4.843,0.000,0.572,1.348,"Logan, UT",0.439,0.202,0.689,0.127
Cloud (GO-2425),0.360,0.198,1.816,0.069,-0.028,0.748,"Logan, UT",0.446,0.201,0.705,0.195
Comanche (NAI-14-176),-0.547,0.198,-2.758,0.006,-0.935,-0.158,"Logan, UT",-0.156,-0.414,0.104,0.145
DLFPS-340/3364,-1.533,0.198,-7.736,0.000,-1.922,-1.145,"Logan, UT",-0.520,-0.772,-0.268,0.145
DLFPS-340/3438,-0.293,0.198,-1.480,0.139,-0.682,0.095,"Logan, UT",0.035,-0.223,0.279,0.156
DLFPS-340/3444,-0.800,0.198,-4.036,0.000,-1.188,-0.412,"Logan, UT",-0.200,-0.448,0.040,0.143
DLFPS-340/3446,-0.093,0.198,-0.471,0.638,-0.482,0.295,"Logan, UT",0.131,-0.111,0.376,0.169
DLFPS-340/3455,-0.867,0.198,-4.372,0.000,-1.255,-0.478,"Logan, UT",0.045,-0.200,0.293,0.182
DLFPS-340/3494,0.107,0.198,0.538,0.590,-0.282,0.495,"Logan, UT",0.101,-0.152,0.352,0.171
DLFPS-340/3500,-0.133,0.198,-0.673,0.501,-0.522,0.255,"Logan, UT",-0.029,-0.281,0.218,0.153
DLFPS-340/3548,-0.427,0.198,-2.153,0.031,-0.815,-0.038,"Logan, UT",0.173,-0.091,0.431,0.167
DLFPS-340/3549,-0.973,0.198,-4.911,0.000,-1.362,-0.585,"Logan, UT",-0.309,-0.569,-0.054,0.146
DLFPS-340/3550,0.507,0.198,2.556,0.011,0.118,0.895,"Logan, UT",0.494,0.242,0.763,0.175
DLFPS-340/3551,0.347,0.198,1.749,0.080,-0.042,0.735,"Logan, UT",0.433,0.185,0.678,0.151
DLFPS-340/3552,0.493,0.198,2.489,0.013,0.105,0.882,"Logan, UT",0.384,0.131,0.640,0.169
DLFPS-340/3553,-0.520,0.198,-2.623,0.009,-0.908,-0.132,"Logan, UT",-0.173,-0.415,0.072,0.144
DLFPS-340/3556,-0.507,0.198,-2.556,0.011,-0.895,-0.118,"Logan, UT",0.150,-0.104,0.408,0.160
Dublin (PST-K15-157),-0.907,0.198,-4.574,0.000,-1.295,-0.518,"Logan, UT",-0.039,-0.309,0.225,0.162
Electric (PST-K11-118),-0.467,0.198,-2.354,0.019,-0.855,-0.078,"Logan, UT",0.052,-0.202,0.303,0.155
Finish Line (NAI-14-178),-0.307,0.198,-1.547,0.122,-0.695,0.082,"Logan, UT",-0.245,-0.502,0.010,0.130
Heartland (NAI-14-187),-0.040,0.198,-0.202,0.840,-0.428,0.348,"Logan, UT",-0.024,-0.284,0.236,0.152
J-1138,-0.987,0.198,-4.978,0.000,-1.375,-0.598,"Logan, UT",-0.172,-0.442,0.084,0.161
J-1319,-1.187,0.198,-5.987,0.000,-1.575,-0.798,"Logan, UT",-0.338,-0.594,-0.091,0.188
J-2726,-0.987,0.198,-4.978,0.000,-1.375,-0.598,"Logan, UT",-0.130,-0.392,0.123,0.164
Jersey (NAI-A16-3),-0.453,0.198,-2.287,0.022,-0.842,-0.065,"Logan, UT",-0.086,-0.325,0.163,0.153
KH3492,-0.933,0.198,-4.709,0.000,-1.322,-0.545,"Logan, UT",-0.148,-0.397,0.098,0.157
Kenblue,-1.627,0.198,-8.207,0.000,-2.015,-1.238,"Logan, UT",-0.449,-0.700,-0.207,0.168
MVS-130,-0.227,0.198,-1.144,0.253,-0.615,0.162,"Logan, UT",-0.033,-0.281,0.208,0.136
Midnight,-0.627,0.198,-3.162,0.002,-1.015,-0.238,"Logan, UT",-0.144,-0.385,0.100,0.124
NAI-14-122,-0.053,0.198,-0.269,0.788,-0.442,0.335,"Logan, UT",0.221,-0.036,0.476,0.149
NAI-14-128,-0.440,0.198,-2.220,0.026,-0.828,-0.052,"Logan, UT",0.056,-0.204,0.303,0.177
NAI-14-132,-0.160,0.198,-0.807,0.420,-0.548,0.228,"Logan, UT",0.101,-0.139,0.354,0.171
NAI-15-80,-0.787,0.198,-3.969,0.000,-1.175,-0.398,"Logan, UT",-0.290,-0.547,-0.036,0.133
NK-1,-0.427,0.198,-2.153,0.031,-0.815,-0.038,"Logan, UT",-0.425,-0.677,-0.174,0.128
New Moon (PST-K15-177),-0.280,0.198,-1.413,0.158,-0.668,0.108,"Logan, UT",0.425,0.163,0.681,0.158
NuRush (J-3510),-0.173,0.198,-0.874,0.382,-0.562,0.215,"Logan, UT",0.055,-0.183,0.292,0.168
Orion (PST-K13-143),0.067,0.198,0.336,0.737,-0.322,0.455,"Logan, UT",0.076,-0.162,0.322,0.192
PPG-KB 1131,-0.213,0.198,-1.076,0.282,-0.602,0.175,"Logan, UT",0.206,-0.046,0.464,0.160
PPG-KB 1304,-0.053,0.198,-0.269,0.788,-0.442,0.335,"Logan, UT",0.320,0.062,0.578,0.146
PPG-KB 1320,-0.827,0.198,-4.171,0.000,-1.215,-0.438,"Logan, UT",-0.158,-0.409,0.090,0.137
PST-11-7,-1.493,0.198,-7.534,0.000,-1.882,-1.105,"Logan, UT",-0.484,-0.764,-0.218,0.162
PST-K13-141,-0.227,0.198,-1.144,0.253,-0.615,0.162,"Logan, UT",0.128,-0.126,0.387,0.157
PST-K15-167,-1.400,0.198,-7.063,0.000,-1.788,-1.012,"Logan, UT",-0.324,-0.608,-0.050,0.158
PST-K15-172,-0.867,0.198,-4.372,0.000,-1.255,-0.478,"Logan, UT",-0.077,-0.330,0.180,0.152
PST-T14-39,-0.613,0.198,-3.094,0.002,-1.002,-0.225,"Logan, UT",0.053,-0.204,0.309,0.162
Paloma (PST-K13-139),-0.373,0.198,-1.884,0.060,-0.762,0.015,"Logan, UT",0.304,0.045,0.558,0.167
Pivot,0.107,0.198,0.538,0.590,-0.282,0.495,"Logan, UT",-0.036,-0.277,0.205,0.187
Prosperity,0.173,0.198,0.874,0.382,-0.215,0.562,"Logan, UT",0.399,0.157,0.637,0.140
RAD 553,-0.133,0.198,-0.673,0.501,-0.522,0.255,"Logan, UT",-0.039,-0.291,0.217,0.167
RAD-1776,-0.240,0.198,-1.211,0.226,-0.628,0.148,"Logan, UT",0.097,-0.153,0.340,0.134
Selway,-0.453,0.198,-2.287,0.022,-0.842,-0.065,"Logan, UT",0.145,-0.099,0.387,0.173
Shamrock,-0.600,0.198,-3.027,0.002,-0.988,-0.212,"Logan, UT",-0.191,-0.429,0.050,0.153
Skye,0.333,0.198,1.682,0.093,-0.055,0.722,"Logan, UT",0.320,0.074,0.566,0.179
Star (GO-2628),0.373,0.198,1.884,0.060,-0.015,0.762,"Logan, UT",0.451,0.196,0.711,0.165
Syrah (LTP-11-41),-0.107,0.198,-0.538,0.590,-0.495,0.282,"Logan, UT",0.036,-0.217,0.287,0.142
Twilight (NAI-13-132),-0.187,0.198,-0.942,0.346,-0.575,0.202,"Logan, UT",-0.029,-0.284,0.229,0.137
United (NAI-13-14),0.000,0.198,0.000,1.000,-0.388,0.388,"Logan, UT",0.091,-0.159,0.346,0.177
Yellowstone (A12-7),-0.413,0.198,-2.085,0.037,-0.802,-0.025,"Logan, UT",0.087,-0.160,0.338,0.133
